DriverNumber,BroadcastName,TeamName,Position,GridPosition,Time,Status,Q1,Q2,Q3
1,M VERSTAPPEN,Red Bull Racing,1.0,1.0,01:54:23.566,Finished,1:28.866,1:28.740,1:28.197
11,S PEREZ,Red Bull Racing,2.0,2.0,01:54:36.101,Finished,1:29.303,1:28.752,1:28.263
55,C SAINZ,Ferrari,3.0,4.0,01:54:56.967,Finished,1:29.513,1:29.099,1:28.682
16,C LECLERC,Ferrari,4.0,8.0,01:55:23.489,Finished,1:29.338,1:29.196,1:28.786
4,L NORRIS,McLaren,5.0,3.0,01:55:53.189,Finished,1:29.536,1:28.940,1:28.489
14,F ALONSO,Aston Martin,6.0,5.0,01:56:37.461,Finished,1:29.254,1:29.082,1:28.686
63,G RUSSELL,Mercedes,7.0,9.0,01:57:23.412,Finished,1:29.799,1:29.140,1:29.008
81,O PIASTRI,McLaren,8.0,6.0,01:58:10.937,Finished,1:29.425,1:29.148,1:28.760
44,L HAMILTON,Mercedes,9.0,7.0,01:58:59.563,Finished,1:29.661,1:28.887,1:28.766
22,Y TSUNODA,RB,10.0,10.0,01:59:01.165,Lapped,1:29.775,1:29.417,1:29.413
27,N HULKENBERG,Haas F1 Team,11.0,12.0,01:59:08.333,Lapped,1:29.821,1:29.494,0:00.000
18,L STROLL,Aston Martin,12.0,16.0,01:59:19.566,Lapped,1:30.024,0:00.000,0:00.000
20,K MAGNUSSEN,Haas F1 Team,13.0,18.0,01:59:37.485,Lapped,1:30.131,0:00.000,0:00.000
77,V BOTTAS,Kick Sauber,14.0,13.0,01:59:56.378,Lapped,1:29.602,1:29.593,0:00.000
31,E OCON,Alpine,15.0,15.0,02:00:37.530,Lapped,1:29.811,1:29.816,0:00.000
10,P GASLY,Alpine,16.0,17.0,02:01:32.596,Lapped,1:30.119,0:00.000,0:00.000
2,L SARGEANT,Williams,17.0,19.0,02:02:45.361,Lapped,1:30.139,0:00.000,0:00.000
24,G ZHOU,Kick Sauber,18.0,20.0,00:00.000000,Retired,1:30.143,0:00.000,0:00.000
3,D RICCIARDO,RB,19.0,11.0,00:00.000000,Retired,1:29.727,1:29.472,0:00.000
23,A ALBON,Williams,20.0,14.0,00:00.000000,Retired,1:29.963,1:29.714,0:00.000
